prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
60170,5-12,0.40444370432439297,Off-Road Chase,blah,blahblah,City,AT,7.3078,0.11737590318674407,0.9345358308985776,Very Easy,0.8968723271151999,1.0
60156,5-12,0.4446956722952275,Jungle Buggy,blah,blahblah,City,AT,7.3078,0.2725384072720801,0.8294828004351504,Easy,0.678457724428362,0.891668149608153
10704,4-99,0.7619075822028539,Creative Box,blah,blahblah,Classic,AT,42.6878,0.11737590318674407,0.7783853970487746,unknown,0.8968723271151999,0.9345358308985776
10696,4-99,0.6924292882331008,LEGO® Medium Creative Brick Box,blah,blahblah,Classic,AT,36.5878,0.40605391075033276,0.9481920934663796,Easy,0.9183854479300276,0.9615546500799727
10703,4-99,0.696519203417306,Creative Builder Box,blah,blahblah,Classic,AT,30.4878,0.11737590318674407,1.0,Average,0.7815853973131623,0.8613531161467861
10715,4-99,0.6822619601150756,Bricks on a Roll,blah,blahblah,Classic,AT,30.4878,,0.9345358308985776,unknown,0.9183854479300276,0.906288469676671
10713,4-99,0.6004957509203033,Creative Suitcase,blah,blahblah,Classic,AT,24.3878,0.11737590318674407,1.0,Very Easy,1.0,1.0
10693,4-99,0.6399711423203714,LEGO® Creative Supplement,blah,blahblah,Classic,AT,24.3878,0.35212770956023215,0.9746358687061645,Easy,0.9802254366484422,0.9874473521709421
10701,4-99,0.0,Gray Baseplate,blah,blahblah,Classic,AT,18.2878,0.5381641145994984,0.906288469676671,Very Easy,0.8057547140443089,0.7783853970487746
10692,4-99,0.6046254643182534,LEGO® Creative Bricks,blah,blahblah,Classic,AT,18.2878,0.3295158195422628,0.906288469676671,Easy,0.8057547140443089,0.906288469676671
10700,4-99,0.0,Green Baseplate,blah,blahblah,Classic,AT,9.7478,0.6483330734001307,0.7227062322935722,Very Easy,0.35993180746721126,0.569323441926607
10714,4-99,0.0,Blue Baseplate,blah,blahblah,Classic,AT,9.7478,0.3034123082260103,0.9615546500799727,Very Easy,0.9394358849288731,0.906288469676671
10706,4-99,0.4879766029460356,Blue Creativity Box,blah,blahblah,Classic,AT,6.0878000000000005,0.35212770956023215,0.9481920934663796,Very Easy,0.9600431217415245,1.0
10708,4-99,0.4692655786419091,Green Creativity Box,blah,blahblah,Classic,AT,6.0878000000000005,0.2725384072720801,0.9345358308985776,Easy,0.9600431217415245,0.9345358308985776
10707,4-99,0.4488445090989742,Red Creativity Box,blah,blahblah,Classic,AT,6.0878000000000005,0.23475180637348814,0.906288469676671,Average,0.8968723271151999,0.906288469676671
10709,4-99,0.45859028689824904,Orange Creativity Box,blah,blahblah,Classic,AT,6.0878000000000005,0.18603640503926622,0.6171420253845629,Easy,0.9394358849288731,1.0
630,4+,0.0,Brick Separator,blah,blahblah,Classic,AT,3.0378000000000003,0.8793630237241007,0.8613531161467861,Very Easy,0.9600431217415245,0.9481920934663796
10698,4-99,0.7473063041360083,LEGO® Large Creative Brick Box,blah,blahblah,Classic,AT,54.8878,0.23475180637348814,1.0,Easy,1.0,1.0
31069,8-12,0.7381518586208343,Modular Family Villa,blah,blahblah,Creator 3-in-1,AT,73.1878,0.40605391075033276,0.7227062322935722,Average,0.622510634873069,0.7227062322935722
31052,9-14,0.7475895047609122,Vacation Getaways,blah,blahblah,Creator 3-in-1,AT,73.1878,0.5309571702133865,0.9615546500799727,Average,0.9802254366484422,0.906288469676671
31070,9-12,0.7288527645141913,Turbo Track Racer,blah,blahblah,Creator 3-in-1,AT,60.9878,0.4468917227290068,0.891668149608153,Average,0.8968723271151999,0.906288469676671
31081,8-12,0.6770755805077345,Modular Skate House,blah,blahblah,Creator 3-in-1,AT,48.7878,0.23475180637348814,0.8613531161467861,Average,0.9600431217415245,0.906288469676671
31068,8-12,0.6670882546582383,Modular Modern Home,blah,blahblah,Creator 3-in-1,AT,42.6878,0.38991431045882424,0.7227062322935722,Average,0.7313791312204417,0.8456222775796745
31079,8-12,0.6650384183298215,Sunshine Surfer Van,blah,blahblah,Creator 3-in-1,AT,36.5878,0.2725384072720801,0.8613531161467861,Easy,0.8748757251374245,0.891668149608153
31080,7-12,0.6635509358109491,Modular Winter Vacation,blah,blahblah,Creator 3-in-1,AT,36.5878,0.11737590318674407,0.8613531161467861,Easy,0.6508838561100401,0.8613531161467861
31066,7-12,0.6331115018472729,Space Shuttle Explorer,blah,blahblah,Creator 3-in-1,AT,36.5878,0.42078821141275435,0.906288469676671,Easy,0.8293415805384022,0.9205726604783713
31067,7-12,0.6580262428882078,Modular Poolside Holiday,blah,blahblah,Creator 3-in-1,AT,30.4878,0.35212770956023215,0.8613531161467861,Average,0.9183854479300276,0.9874473521709421
31076,7-12,0.5934422089489584,Daredevil Stunt Plane,blah,blahblah,Creator 3-in-1,AT,24.3878,0.0,1.0,Average,1.0,1.0
31075,7-12,0.6066345906092095,Outback Adventures,blah,blahblah,Creator 3-in-1,AT,24.3878,0.0,1.0,Easy,0.7815853973131623,0.8613531161467861
31074,7-12,0.6143289996929363,Rocket Rally Car,blah,blahblah,Creator 3-in-1,AT,24.3878,0.11737590318674407,0.9345358308985776,Easy,1.0,1.0
31062,7-12,0.596207924467034,Robo Explorer,blah,blahblah,Creator 3-in-1,AT,21.9478,0.37207281007853243,0.9345358308985776,Average,0.9600431217415245,0.906288469676671
31058,7-12,0.5778440514314447,Mighty Dinosaurs,blah,blahblah,Creator 3-in-1,AT,18.2878,0.5581092151177987,0.9345358308985776,Easy,0.9394358849288731,0.9615546500799727
31073,7-12,0.6056345322915931,Mythical Creatures,blah,blahblah,Creator 3-in-1,AT,18.2878,0.2725384072720801,0.9615546500799727,Easy,0.8748757251374245,1.0
31056,6-12,0.5380781601765794,Green Cruiser,blah,blahblah,Creator 3-in-1,AT,12.1878,0.3034123082260103,0.9345358308985776,Easy,0.8968723271151999,0.9615546500799727
31057,6-12,0.5180237220165796,Air Blazer,blah,blahblah,Creator 3-in-1,AT,12.1878,0.0,0.8613531161467861,Easy,0.7815853973131623,0.8613531161467861
31071,6-12,0.5254581138826614,Drone Explorer,blah,blahblah,Creator 3-in-1,AT,12.1878,0.0,1.0,Average,1.0,1.0
31072,6-12,0.5254581138826614,Extreme Engines,blah,blahblah,Creator 3-in-1,AT,12.1878,,0.9345358308985776,unknown,0.9183854479300276,0.906288469676671
10260,16+,0.8754387849945171,Downtown Diner,blah,blahblah,Creator Expert,AT,182.9878,0.6988791696828386,0.9205726604783713,Challenging,0.9183854479300276,0.906288469676671
10256,16+,0.9729492894005289,Taj Mahal,blah,blahblah,Creator Expert,AT,402.5878,0.636912726513555,0.8456222775796745,Challenging,0.9600431217415245,0.9345358308985776
10255,16+,0.9290375502195295,Assembly Square,blah,blahblah,Creator Expert,AT,292.7878,0.7781267208288651,0.9615546500799727,Challenging,0.9600431217415245,0.9345358308985776
10214,16+,0.9369515789059792,Tower Bridge,blah,blahblah,Creator Expert,AT,268.3878,0.9193925399750151,0.891668149608153,Challenging,0.9600431217415245,0.9481920934663796
10253,16+,0.9334552524774341,Big Ben,blah,blahblah,Creator Expert,AT,268.3878,0.7042554191204643,0.8129128868795363,Challenging,0.9183854479300276,0.9481920934663796
10257,16+,0.8837070423959904,Carousel,blah,blahblah,Creator Expert,AT,219.5878,0.6723198367361811,0.891668149608153,Challenging,0.8748757251374245,0.891668149608153
10247,16+,0.8747138259103522,Ferris Wheel,blah,blahblah,Creator Expert,AT,219.5878,0.7638582736471741,0.9874473521709421,Challenging,0.9802254366484422,0.9615546500799727
10243,16+,0.8749408800880015,Parisian Restaurant,blah,blahblah,Creator Expert,AT,182.9878,0.8988894895830865,0.9615546500799727,Challenging,0.9802254366484422,0.9615546500799727
10246,16+,0.8651332240552992,Detective’s Office,blah,blahblah,Creator Expert,AT,182.9878,0.8765169460833345,0.9205726604783713,Challenging,0.9183854479300276,0.9205726604783713
10251,16+,0.8709229256591561,Brick Bank,blah,blahblah,Creator Expert,AT,182.9878,0.8034955774854667,0.9345358308985776,Challenging,0.9394358849288731,0.891668149608153
